target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
94_28_dither,2026-07-19 00:58:58.123,2026-07-19 01:00:38.123,1.666666666666714,237.5241486111111,-24.545454545454543,{'dither': True},61240.040950497685,3,15.834943240740742
96_28_dither,2026-07-19 01:00:38.123,2026-07-19 01:02:18.123,1.666666666666714,242.63053158983453,-24.545454545454543,{'dither': True},61240.042107905094,3,16.175368772655638
98_28_dither,2026-07-19 01:02:18.123,2026-07-19 01:03:58.123,1.666666666666714,247.73691456855795,-24.545454545454543,{'dither': True},61240.0432653125,3,16.515794304570534
100_28_dither,2026-07-19 01:03:58.123,2026-07-19 01:05:38.123,1.666666666666714,252.8432975472813,-24.545454545454543,{'dither': True},61240.044422719904,3,16.856219836485423
106_30_dither,2026-07-19 01:05:38.123,2026-07-19 01:07:18.123,1.666666666666714,258.89401162480976,-19.870129870129876,{'dither': True},61240.04558012731,3,17.25960077498732
104_30_dither,2026-07-19 01:07:18.123,2026-07-19 01:08:58.123,1.666666666666714,253.96250477549464,-19.870129870129876,{'dither': True},61240.04673753472,3,16.930833651699647
102_30_dither,2026-07-19 01:08:58.123,2026-07-19 01:10:38.123,1.666666666666714,249.0309979261796,-19.870129870129876,{'dither': True},61240.04789494213,3,16.602066528411978
100_30_dither,2026-07-19 01:10:38.123,2026-07-19 01:12:18.123,1.666666666666714,244.09949107686455,-19.870129870129876,{'dither': True},61240.04905234954,3,16.273299405124305
98_30_dither,2026-07-19 01:12:18.123,2026-07-19 01:13:58.123,1.666666666666714,239.16798422754948,-19.870129870129876,{'dither': True},61240.05020975695,3,15.944532281836635
96_30_dither,2026-07-19 01:13:58.123,2026-07-19 01:15:38.123,1.666666666666714,234.2364773782344,-19.870129870129876,{'dither': True},61240.05136716435,3,15.615765158548964
100_32_dither,2026-07-19 01:15:38.123,2026-07-19 01:17:18.123,1.666666666666714,239.13488686614468,-15.194805194805197,{'dither': True},61240.05252457176,3,15.942325791076316
102_32_dither,2026-07-19 01:17:18.123,2026-07-19 01:18:58.123,1.666666666666714,243.96710163124533,-15.194805194805197,{'dither': True},61240.05368197917,3,16.264473442083023
104_32_dither,2026-07-19 01:18:58.123,2026-07-19 01:20:38.123,1.666666666666714,248.79931639634603,-15.194805194805197,{'dither': True},61240.054839386576,3,16.58662109308974
